"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo"
"1251","MIN","IND","Wind Chill","AlleyCats",21,22,2014-05-04,"2014-05-04-IND-MIN","AlleyCats","Wind Chill","regular",1436.56190436738,1407.00171139943,1423.24219745236,1420.32141831445
"1247","MAD","MIN","Radicals","Wind Chill",22,15,2014-05-09,"2014-05-09-MIN-MAD","Radicals","Wind Chill","regular",1515.91190951682,1423.24219745236,1530.13941205418,1409.01469491499
"1248","CHI","IND","Union","AlleyCats",20,19,2014-05-09,"2014-05-09-IND-CHI","Union","AlleyCats","regular",1430.21909159463,1420.32141831445,1437.08979706691,1413.45071284218
"1241","ROC","TOR","Dragons","Rush",18,30,2014-05-10,"2014-05-10-TOR-ROC","Rush","Dragons","regular",1347.77825149923,1488.48515088108,1313.15056738367,1523.11283499663
"1242","VAN","OAK","Riptide","Spiders",32,39,2014-05-10,"2014-05-10-SJ-VAN","Spiders","Riptide","regular",1451.8451243651,1477.15703156817,1415.29065599908,1513.71149993419
"1243","SAL","SF","Lions","FlameThrowers",16,19,2014-05-10,"2014-05-10-SF-SLC","FlameThrowers","Lions","regular",1241.28393138987,1497.08858964209,1228.31773856069,1510.05478247127
"1244","NY","PHI","Empire","Phoenix",20,10,2014-05-10,"2014-05-10-PHI-NY","Empire","Phoenix","regular",1428.72971872906,1322.23964857381,1444.08568090725,1306.88368639563
"1245","IND","MIN","AlleyCats","Wind Chill",25,24,2014-05-10,"2014-05-10-MIN-IND","AlleyCats","Wind Chill","regular",1413.45071284218,1409.01469491499,1420.47978383009,1401.98562392708
"1246","DET","CIN","Mechanix","Revolution",15,20,2014-05-10,"2014-05-10-CIN-DET","Revolution","Mechanix","regular",1248.58048685821,1361.72489626354,1222.56497947569,1387.74040364606
"1240","SEA","OAK","Cascades","Spiders",14,23,2014-05-11,"2014-05-11-SJ-SEA","Spiders","Cascades","regular",1332.62532303478,1513.71149993419,1304.98540333632,1541.35141963265
"1239","CIN","IND","Revolution","AlleyCats",20,24,2014-05-16,"2014-05-16-IND-CIN","AlleyCats","Revolution","regular",1387.74040364606,1420.47978383009,1359.83587792233,1448.38430955382
"1234","VAN","SAL","Riptide","Lions",40,28,2014-05-17,"2014-05-17-SLC-VAN","Riptide","Lions","regular",1415.29065599908,1228.31773856069,1426.23932163578,1217.36907292399
"1235","SF","OAK","FlameThrowers","Spiders",22,21,2014-05-17,"2014-05-17-SJ-SF","FlameThrowers","Spiders","regular",1510.05478247127,1541.35141963265,1518.16899154171,1533.2372105622
"1236","ROC","NY","Dragons","Empire",13,24,2014-05-17,"2014-05-17-NY-ROC","Empire","Dragons","regular",1313.15056738367,1444.08568090725,1278.7026204239,1478.53362786702
"1237","IND","DET","AlleyCats","Mechanix",30,22,2014-05-17,"2014-05-17-DET-IND","AlleyCats","Mechanix","regular",1448.38430955382,1222.56497947569,1456.01453745526,1214.93475157424
"1238","MIN","CHI","Wind Chill","Union",20,31,2014-05-17,"2014-05-17-CHI-MIN","Union","Wind Chill","regular",1401.98562392708,1437.08979706691,1359.09491450129,1479.98050649269
"1231","SEA","SAL","Cascades","Lions",26,13,2014-05-18,"2014-05-18-SLC-SEA","Cascades","Lions","regular",1304.98540333632,1217.36907292399,1323.47870319047,1198.87577306983
"1232","MTL","ROC","Royal","Dragons",27,14,2014-05-18,"2014-05-18-ROC-MTL","Royal","Dragons","regular",1350.39304208517,1278.7026204239,1370.31316201082,1258.78250049825
"1233","DC","PHI","Breeze","Phoenix",25,21,2014-05-18,"2014-05-18-PHI-DC","Breeze","Phoenix","regular",1462.37418823165,1306.88368639563,1470.45645933006,1298.80141529721
"1230","CHI","MAD","Union","Radicals",15,14,2014-05-23,"2014-05-23-MAD-CHI","Union","Radicals","regular",1479.98050649269,1530.13941205418,1488.69882507104,1521.42109347583
