"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type"
"1231","SEA","SAL","Cascades","Lions",26,13,2014-05-18,"2014-05-18-SLC-SEA","Cascades","Lions","regular"
"1232","MTL","ROC","Royal","Dragons",27,14,2014-05-18,"2014-05-18-ROC-MTL","Royal","Dragons","regular"
"1233","DC","PHI","Breeze","Phoenix",25,21,2014-05-18,"2014-05-18-PHI-DC","Breeze","Phoenix","regular"
"1230","CHI","MAD","Union","Radicals",15,14,2014-05-23,"2014-05-23-MAD-CHI","Union","Radicals","regular"
"1226","PHI","MTL","Phoenix","Royal",15,23,2014-05-24,"2014-05-24-MTL-PHI","Royal","Phoenix","regular"
"1227","CIN","MIN","Revolution","Wind Chill",25,26,2014-05-24,"2014-05-24-MIN-CIN","Wind Chill","Revolution","regular"
"1228","TOR","DC","Rush","Breeze",27,17,2014-05-24,"2014-05-24-DC-TOR","Rush","Breeze","regular"
"1229","MAD","CHI","Radicals","Union",15,12,2014-05-24,"2014-05-24-CHI-MAD","Radicals","Union","regular"
"1222","SEA","VAN","Cascades","Riptide",16,21,2014-05-25,"2014-05-25-VAN-SEA","Riptide","Cascades","regular"
"1223","NY","MTL","Empire","Royal",26,21,2014-05-25,"2014-05-25-MTL-NY","Empire","Royal","regular"
"1224","DET","MIN","Mechanix","Wind Chill",18,29,2014-05-25,"2014-05-25-MIN-DET","Wind Chill","Mechanix","regular"
"1225","ROC","DC","Dragons","Breeze",21,26,2014-05-25,"2014-05-25-DC-ROC","Breeze","Dragons","regular"
"1217","OAK","VAN","Spiders","Riptide",26,25,2014-05-31,"2014-05-31-VAN-SJ","Spiders","Riptide","regular"
"1218","SAL","SEA","Lions","Cascades",15,22,2014-05-31,"2014-05-31-SEA-SLC","Cascades","Lions","regular"
"1219","TOR","MTL","Rush","Royal",25,20,2014-05-31,"2014-05-31-MTL-TOR","Rush","Royal","regular"
"1220","CIN","MAD","Revolution","Radicals",12,29,2014-05-31,"2014-05-31-MAD-CIN","Radicals","Revolution","regular"
"1221","DET","CHI","Mechanix","Union",17,31,2014-05-31,"2014-05-31-CHI-DET","Union","Mechanix","regular"
"1214","SF","VAN","FlameThrowers","Riptide",20,16,2014-06-01,"2014-06-01-VAN-SF","FlameThrowers","Riptide","regular"
"1215","PHI","NY","Phoenix","Empire",16,27,2014-06-01,"2014-06-01-NY-PHI","Empire","Phoenix","regular"
"1216","ROC","MTL","Dragons","Royal",19,22,2014-06-01,"2014-06-01-MTL-ROC","Royal","Dragons","regular"
"1208","VAN","SAL","Riptide","Lions",37,9,2014-06-07,"2014-06-07-SLC-VAN","Riptide","Lions","regular"
"1209","OAK","SF","Spiders","FlameThrowers",33,30,2014-06-07,"2014-06-07-SF-SJ","Spiders","FlameThrowers","regular"
"1210","NY","MTL","Empire","Royal",24,16,2014-06-07,"2014-06-07-MTL-NY","Empire","Royal","regular"
